"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"ILMN_1781814",6.38436789297659,108.502574850299,4.66590737527881,6.30453215738451e-06,4.07238698814837e-05,2.94366764796231,"SEMA4B"
"ILMN_1735179",12.9943244147157,123.829341317365,4.66550701962789,6.31538780866557e-06,4.07884238954104e-05,2.94232446072908,""
"ILMN_1740443",-4859.17182107024,12457.852754491,-4.66545846036033,6.31670572068023e-06,4.07913684653425e-05,2.94216155078012,""
"ILMN_1754757",-112.666058528428,327.293473053892,-4.66465150259206,6.33864568729141e-06,4.09232857226556e-05,2.93945449326768,""
"ILMN_1814173",360.014836120401,1112.41748502994,4.66464351592717,6.33886319992954e-06,4.09232857226556e-05,2.93942770252847,"SMARCA4"
"ILMN_3242738",7.40796488294314,105.378023952096,4.66460676425869,6.33986420526259e-06,4.09241650418001e-05,2.9393044219147,"ZFP62"
"ILMN_2124352",79.8410635451505,340.186526946108,4.66419683270602,6.35103986221356e-06,4.09907130877892e-05,2.93792938603093,"DCUN1D5"
"ILMN_1849267",-12.1782926421405,145.513173652695,-4.66408022290168,6.35422238102411e-06,4.10056609184267e-05,2.93753825703147,""
"ILMN_1716988",132.716831103679,306.625868263473,4.66373642124376,6.36361439166711e-06,4.10606708811659e-05,2.93638512932091,"OPN3"
"ILMN_1699112",395.839944816054,1910.76497005988,4.66363333219634,6.36643320019644e-06,4.10732586093655e-05,2.93603937555859,"COPB1"
"ILMN_1748077",140.278127090301,591.681017964072,4.66330744623102,6.3753519721731e-06,4.11251916612834e-05,2.9349464122222,"DDX59"
"ILMN_3277850",13.9257090301003,120.275329341317,4.66325014743336,6.37692135883214e-06,4.11297086742067e-05,2.93475424799875,""
"ILMN_2252295",12.0785785953177,112.473353293413,4.66297350941861,6.3845035904157e-06,4.11730006685271e-05,2.93382650511022,"ELF2"
"ILMN_1700695",767.488543478261,1733.7125748503,4.66232175630403,6.40240158592412e-06,4.12827970907618e-05,2.93164092059335,"SLC44A1"
"ILMN_3260148",-8.13359531772575,109.824790419162,-4.66152487663383,6.42435077171374e-06,4.14164090162138e-05,2.92896897007208,""
"ILMN_1769277",2617.43966053512,8725.40023952096,4.66150593466558,6.42487339055885e-06,4.14164090162138e-05,2.92890546136573,""
"ILMN_1698406",178.087120401338,1104.15676646707,4.66146432654628,6.42602152450883e-06,4.14181681534741e-05,2.92876595815388,"ORMDL1"
"ILMN_3204842",13.3488913043478,111.554850299401,4.66140656266237,6.42761578880776e-06,4.14228019008526e-05,2.92857228957897,""
"ILMN_1761363",85.3048979933111,286.200778443114,4.66114360922042,6.43487804454346e-06,4.14639568115313e-05,2.927690691131,"VAMP4"
"ILMN_1810595",-8.66898327759198,120.35880239521,-4.66086679993202,6.44253152964561e-06,4.15076211090387e-05,2.92676267737075,""
"ILMN_1688240",-7.44596822742475,116.753113772455,-4.66037309264567,6.45620383536884e-06,4.15900459974577e-05,2.9251076037766,"PHOSPHO1"
"ILMN_1683044",202.159122073579,680.689640718563,4.66029979845441,6.45823596812783e-06,4.1597474136892e-05,2.92486190770806,"PPP1R2"
"ILMN_3216298",7.0146906354515,109.541437125749,4.65994400547099,6.46810935483452e-06,4.16553988690091e-05,2.92366926170759,""
"ILMN_1734544",39.2180568561873,221.322215568862,4.65970160445928,6.47484441647178e-06,4.16878658879757e-05,2.92285675224726,"WTAP"
"ILMN_1768127",514.278615384615,1937.55934131737,4.65968529930309,6.47529769477344e-06,4.16878658879757e-05,2.92280209972196,"EBNA1BP2"
"ILMN_3207694",7.8847491638796,111.742694610778,4.65966746402299,6.47579354512719e-06,4.16878658879757e-05,2.92274231860114,""
"ILMN_1761044",41.1793795986623,191.852634730539,4.65885703965147,6.49836340107249e-06,4.18274691057606e-05,2.92002607530963,"GNB1L"
"ILMN_1764177",69.3030719063546,272.711556886228,4.65856019700371,6.50664928497789e-06,4.18751064142151e-05,2.9190312539388,"JARID2"
"ILMN_1678143",-1548.4702909699,3936.32389221557,-4.65840330053249,6.51103291603397e-06,4.18976202954255e-05,2.91850545867243,"ARHGDIB"
"ILMN_2346137",-114.304150501672,337.936407185629,-4.65807193499999,6.52030052104682e-06,4.19515514965299e-05,2.91739502058744,"ZNF557"
"ILMN_1748591",832.135994983277,1646.50874251497,4.65778460364758,6.52834688866856e-06,4.19976116728621e-05,2.91643219161935,"ODC1"
"ILMN_1817973",-11.7391538461538,139.367305389222,-4.65771441881411,6.5303137863577e-06,4.20018530449145e-05,2.91619701327121,""
"ILMN_1680437",1776.31002173913,6649.2,4.6576977379937,6.53078134281055e-06,4.20018530449145e-05,2.91614111884068,""
"ILMN_1739345",129.994493311037,666.999281437126,4.65765947586504,6.53185393642944e-06,4.20030428019722e-05,2.91601290987337,"LBHD1"
"ILMN_1773620",77.6108963210702,481.686167664671,4.6572225711488,6.54411365129887e-06,4.20761611693974e-05,2.91454898104135,"SMARCC2"
"ILMN_1666609",24.333737458194,164.890419161677,4.65717119851756,6.54555664577298e-06,4.20797217214059e-05,2.91437685421753,"USP22"
"ILMN_1700679",-14.9790719063545,144.187185628743,-4.65583981554704,6.58306087792771e-06,4.23150783571441e-05,2.90991646205153,""
"ILMN_1801077",-2100.56627591973,3438.6951497006,-4.65538685403989,6.59586774954621e-06,4.2391641130521e-05,2.90839916341233,"PLIN2"
"ILMN_3308138",-736.701010033445,1218.53784431138,-4.65501813414384,6.60631055772508e-06,4.24484878067497e-05,2.90716413035997,"RNU4-2"
"ILMN_1771723",-7.2840668896321,108.360179640719,-4.65501121207086,6.60650675577345e-06,4.24484878067497e-05,2.90714094544604,""
"ILMN_1798123",48.9134816053512,284.965628742515,4.65425126943438,6.62808067832895e-06,4.25813241732124e-05,2.90459573200419,"ELOVL1"
"ILMN_1900457",-9.53237458193981,122.934251497006,-4.65373628650922,6.64273910821497e-06,4.26697027390999e-05,2.90287111314146,"AKAIN1"
"ILMN_1705515",90.1243311036789,342.008203592814,4.65359225025004,6.64684454082713e-06,4.26902792292374e-05,2.90238877694346,"UPF3A"
"ILMN_1755423",-9.26164882943144,117.974910179641,-4.65340286701092,6.65224621536664e-06,4.27132556156913e-05,2.90175460315321,"PTCRA"
"ILMN_1721344",-28.9234180602006,199.561137724551,-4.6533962417425,6.6524352609635e-06,4.27132556156913e-05,2.9017324179404,"MOB3A"
"ILMN_3272347",-8.21690802675586,126.585688622754,-4.65334981950171,6.65376001997353e-06,4.27132556156913e-05,2.90157697019499,""
"ILMN_2091084",-2636.14833946488,7776.64,-4.65334027647671,6.65403238237767e-06,4.27132556156913e-05,2.9015450149246,"C8orf37"
"ILMN_3239388",-69.4145317725753,259.941497005988,-4.65328311715675,6.65566396142953e-06,4.27179343527422e-05,2.9013536152333,""
"ILMN_1690048",-7.46890133779265,118.036167664671,-4.65317366765398,6.65878921062359e-06,4.2732197318298e-05,2.90098712505626,"OR4F21"
"ILMN_1777113",25.1619046822743,163.355329341317,4.65289628052574,6.66671613944146e-06,4.27772665966981e-05,2.90005832599286,"NEURL2"
