"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","43/2057","103/9399",0.41747572815534,1.90756167668062,4.90201210905507,4.2809300407305e-06,0.000129140120492472,9.39907042381299e-05,"5646/477/1298/1301/6550/50509/1361/1310/1357/23428/6505/1277/1297/4224/1294/3769/6543/1300/206358/81578/480/54407/1284/486/1280/4225/1295/1360/1358/1278/1504/440387/169044/255631/6546/1282/1287/84570/1288/1306/5644/131873/5645",43
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","70/2057","195/9399",0.358974358974359,1.64025279533301,4.78198445559823,4.42766127402761e-06,0.000129140120492472,9.39907042381299e-05,"4353/5332/5296/7450/8970/5582/27180/7099/255626/5603/8365/23569/2215/79885/3015/820/221613/5579/5604/2358/2357/2266/2243/2244/566/6403/92815/23236/653604/8338/8340/5600/6300/3014/8329/8969/128312/6714/8356/728/1378/2214/126961/440689/8341/8370/8362/8342/8339/8355/8344/8348/8353/85235/8354/8345/8294/8331/8332/8367/3012/8360/8343/8335/8359/8336/8366/8357/8358/8352",70
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","23/2057","43/9399",0.534883720930233,2.44403115849453,5.02334911062615,5.60726094975477e-06,0.000150964717878013,0.000109875072861591,"30/2182/38/2639/217/1962/33/34/35/1892/81616/219/2180/1376/23305/10449/130/124/36/125/127/1375/126",23
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","31/2057","68/9399",0.455882352941176,2.08305213188824,4.74424817613573,1.11383747951671e-05,0.000278459369879178,0.000202668172964695,"8630/54905/50700/1592/1562/7365/6121/9227/54490/5959/1559/1558/316/8608/1544/1576/7364/130/10941/339761/124/125/1555/127/10720/54658/54576/54575/54577/126/1548",31
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","79/2057","233/9399",0.339055793991416,1.54923938149019,4.49342378240668,1.30081783537794e-05,0.000303524161588185,0.00022091081835892,"3675/8735/1634/477/2273/9172/1462/1298/1301/88/2192/50509/4606/3655/6445/7138/1311/2027/1277/6442/4619/4621/1297/7060/4001/7134/2274/270/7139/6385/4620/2318/7137/7136/23345/3691/480/4626/1837/1284/7057/22801/57159/81624/84467/127294/58/3680/27063/288/84033/56776/70/72/129446/10611/200539/29765/3673/1278/26287/255631/171024/6712/8557/84823/633/4703/1282/1287/4604/9260/1288/4624/7169/1756/131873/343263/4622",79
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","22/2057","42/9399",0.523809523809524,2.39343009931245,4.79037149056727,1.39622247505956e-05,0.000305423666419278,0.000222293315108166,"26/38/259307/2639/51166/217/1962/8564/64577/847/1892/7166/15/219/316/1544/6999/23498/883/55526/169355/11185",22
"Cellular Processes","Cell motility","hsa04814","Motor proteins","68/2057","194/9399",0.350515463917526,1.60160177217347,4.48152425810467,1.51268790147127e-05,0.000311435744420556,0.000226669023006841,"8735/23026/51175/113457/3835/24137/10382/147700/7138/8701/4619/4621/10112/7134/1768/23046/9928/7139/81930/1769/4620/83658/4430/7137/547/7136/7283/4626/84700/92558/9493/3832/1062/11004/58/112714/200132/3798/55567/1780/70/55083/72/56992/374654/4640/90990/4648/260334/283446/201625/64837/79861/127602/146909/347240/8632/124602/4624/7278/7169/285643/3833/10381/347688/4622/80022/80179",68
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","29/2057","63/9399",0.46031746031746,2.10331736000185,4.65069630834264,1.68993578050129e-05,0.000328598623986361,0.000239160502269773,"5743/2687/50487/8605/5730/2053/5740/1571/1573/1559/1558/9536/874/283748/246/3248/1557/255189/5319/11145/247/284273/8398/8529/11283/391013/123745/8644/1555",29
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","20/2057","37/9399",0.540540540540541,2.46987872656322,4.74160884300176,1.86598850708526e-05,0.00034373472498939,0.000250176852473481,"1373/440/790/2346/259307/443/64902/2744/2805/2806/2571/445/27165/2752/2746/8659/80150/189/18/339983",20
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","16/2057","27/9399",0.592592592592593,2.70771890023227,4.70337713156384,2.81072303802529e-05,0.000491876531654426,0.000357997355369537,"6296/38/5019/1962/3155/35/1892/2571/3158/54511/116285/142827/18/54988/123876/341392",16
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","17/2057","30/9399",0.566666666666667,2.58925619834711,4.6146163226721,3.52732364787254e-05,0.000587887274645423,0.000427875851020128,"50487/8605/1571/1573/1559/1558/1544/283748/1576/246/1557/255189/5319/11145/8398/391013/123745",17
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","31/2057","73/9399",0.424657534246575,1.94037732833425,4.26917100079171,6.15229802136871e-05,0.000939989560829721,0.000684142778107647,"2328/2326/218/7365/1571/222/2944/2949/54490/1559/1558/316/1544/1576/1557/2941/7364/130/10941/124/125/1555/127/10720/54658/54576/54575/2939/54577/126/1548",31
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","35/2057","86/9399",0.406976744186047,1.85958892494149,4.23860466327098,6.17707425688102e-05,0.000939989560829721,0.000684142778107647,"6833/477/816/815/3781/779/3710/5332/3780/6804/2645/2740/2641/6513/5582/6616/480/1131/486/3651/3782/139760/775/114/90993/2695/6514/5579/27094/112/9699/23236/3767/6262/157855",35
"Organismal Systems","Digestive system","hsa04976","Bile secretion","36/2057","90/9399",0.4,1.82771025765678,4.17614676581479,7.50641995451885e-05,0.00107606012722237,0.000783177596354327,"1080/477/6550/6344/8671/3781/10998/6523/6554/343/760/6822/7365/28234/6513/10257/3949/8431/480/10599/54490/486/9376/114/1576/1581/7364/10941/112/6580/123264/10720/54658/54576/54575/54577",36
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","19/2057","37/9399",0.513513513513513,2.34638479023506,4.34323588204339,7.68614376587408e-05,0.00107606012722237,0.000783177596354327,"7299/2954/2184/259307/7306/218/2805/1621/2806/222/316/5409/130/7054/124/125/127/6898/126",19
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","28/2057","65/9399",0.430769230769231,1.96830335439961,4.14631117790514,0.000101997905799505,0.00137304873191642,0.000999331708642927,"8913/7224/3781/779/3710/610/8911/5332/3972/3780/5296/84634/6696/3762/5582/7223/9568/3782/57657/2796/775/3763/3765/5579/5604/3814/23236/3767",28
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","55/2057","158/9399",0.348101265822785,1.59057063561904,3.96249368977216,0.000118447938769338,0.00153543624330623,0.00111752051392514,"1870/1663/9319/4171/4175/27127/5933/10403/4998/23594/8318/990/8317/4616/4174/994/1869/4173/898/4172/7272/991/1031/9088/151648/10912/5111/1875/891/9700/4609/90381/890/113130/1030/1029/1111/701/9133/995/80174/993/4085/9232/7465/4176/5347/81620/699/983/157570/27085/9134/2810/9212",55
"Human Diseases","Substance dependence","hsa05034","Alcoholism","64/2057","191/9399",0.335078534031414,1.53106618442453,3.92473513349585,0.000124204115865411,0.00155255144831764,0.00112997729471539,"2775/2906/116444/8970/2354/2792/91860/84152/6531/255626/53358/814/90993/8365/2905/79885/3015/221613/2786/5604/163688/5569/2902/810/7054/92815/2903/653604/8338/8340/399694/3014/8329/8969/128312/8356/126961/440689/8341/8370/8362/8342/8339/8355/8344/8348/8353/85235/8354/8345/8294/8331/8332/8367/3012/8360/8343/8335/8359/8336/8366/8357/8358/8352",64
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","18/2057","36/9399",0.5,2.28463782207098,4.08744685571747,0.000184215271041827,0.00222328775395308,0.00161815229009518,"23649/5424/4171/4175/4174/5427/4173/10535/3978/4172/5111/5983/1763/5558/5984/4176/2237/5557",18
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","26/2057","61/9399",0.426229508196721,1.94756011061788,3.9298179207039,0.000219868640788858,0.00256513414253668,0.00186695477441767,"477/6550/1811/7018/6523/3162/6543/140803/4495/4502/480/1317/486/55630/55503/4493/115019/6546/4501/4494/142680/4496/4489/4499/65010/645745",26
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","18/2057","37/9399",0.486486486486487,2.2228908539069,3.94486292108503,0.00028591890266791,0.00322811664302479,0.00234948639883308,"6401/8542/5332/3910/335/3553/5582/3569/3586/5579/3592/4615/23236/3040/169355/3039/54106/3043",18
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","37/2057","99/9399",0.373737373737374,1.70770907912376,3.74678321754988,0.000309579429222302,0.00329935994040216,0.00240133866339044,"3479/5606/816/815/55515/3710/623/5332/8605/5296/41/59341/5732/3553/5582/91860/1573/79054/3358/114/5603/283748/5579/624/255189/163688/112/810/23236/8398/5600/123745/6300/3556/6714/9311/51802",37
