"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","19/2057","63/9399",0.301587301587302,1.37803551172535,1.59349288114216,0.0783616627966387,0.222980341291248,0.162289451405961,"7479/7481/4616/7472/2735/11211/10297/7475/652/10912/51176/89780/7476/54361/64399/374654/8313/2535/8326",19
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","30/2057","107/9399",0.280373831775701,1.28110532078746,1.54786838681719,0.0790777738349681,0.223203393889023,0.162451793447048,"816/5214/5315/815/32/3710/5106/5834/5332/2645/10891/2998/2641/6513/5105/91860/2538/150094/2308/90993/5563/6514/2203/163688/810/23236/1375/2642/139420/102724428",30
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","39/2057","144/9399",0.270833333333333,1.23751215362178,1.52022037247574,0.0803730370208069,0.225044503658259,0.163791789128718,"5080/3479/6929/7479/7481/64211/5296/1749/7472/11211/3977/10297/5013/7475/3398/3624/130399/652/3397/3231/1852/3572/9314/4609/658/89780/7476/4838/5603/54361/8313/5604/3626/2535/6657/5600/6300/8326/5460",39
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","42/2057","157/9399",0.267515923566879,1.22235399397428,1.48709753921596,0.0844803376545377,0.234667604595938,0.170795670111931,"23166/816/815/5743/384/7301/4776/10326/286410/26762/6513/6446/383/1788/5732/51761/55576/3586/7057/1847/4240/51454/84466/91937/121601/5603/714/246/558/5604/64805/682/713/8877/8398/5627/338440/5600/6300/487/1375/100133941",42
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","47/2057","178/9399",0.264044943820225,1.20649413075658,1.47216462698079,0.0857174126321847,0.236229089931218,0.171932149664225,"1951/816/815/7479/7481/4776/343637/5332/6422/27121/79816/7472/6424/22943/54894/11211/10297/7475/27101/6425/5582/4609/51176/8549/85407/84870/340419/89780/7476/27123/11197/54361/57216/2487/5579/8313/4920/1501/4163/8061/3725/2535/23236/147111/4919/8326/29964",47
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","40/2057","149/9399",0.268456375838926,1.22665117963542,1.47607331063504,0.086560581288586,0.236689089460977,0.172266946314456,"56895/4254/5332/8605/5296/5159/5737/2914/554/5156/1950/8612/185/2846/53358/2911/114/9162/22808/283748/8613/3577/2912/552/255189/2915/5604/23566/112/8877/2918/3579/23236/399694/123745/2917/5154/26052/553/139189",40
"Metabolism","Global and overview maps","hsa01210","2-Oxocarboxylic acid metabolism","11/2057","33/9399",0.333333333333333,1.52309188138065,1.59325594976022,0.0875686739413984,0.237589425422399,0.172922228427731,"586/594/587/51166/64902/2805/2806/1629/189/55526/55753",11
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","55/2057","212/9399",0.259433962264151,1.18542528503683,1.44536556492667,0.0884984826208291,0.238265145517617,0.173414030722596,"3479/3082/5606/4254/4804/27006/2249/2775/285/5332/5296/23094/5159/57568/1268/8074/7010/3397/5582/9002/91860/5156/7057/1950/8631/1969/1944/2846/55740/114/5603/22808/8822/9965/2277/5579/5604/163688/2357/23566/112/375189/2902/810/1436/23236/2903/1946/5600/2248/6300/6714/5154/27040/1945",55
"Human Diseases","Cancer: specific types","hsa05214","Glioma","22/2057","76/9399",0.289473684210526,1.3226850548832,1.49498034096682,0.0904198388938204,0.240422664937,0.174984315533095,"1870/3479/816/815/4616/1869/5296/5159/5582/91860/10912/5156/1950/1029/53358/814/5579/5604/163688/810/399694/5154",22
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","36/2057","133/9399",0.270676691729323,1.23679641495572,1.45573549553965,0.09067369077624,0.240422664937,0.174984315533095,"816/1815/815/5522/2775/3710/5332/2891/3762/5582/2792/91860/50632/84152/2774/6531/6323/774/775/3798/5603/3763/90993/3765/5579/28227/2786/1816/163688/2353/810/7054/23236/2903/5600/6300",36
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","37/2057","138/9399",0.268115942028986,1.22509564371922,1.40995537467066,0.0976781965726848,0.255235742320415,0.185765562831701,"3479/816/815/27330/27127/6790/3710/898/22849/991/9088/91860/151648/891/9700/89869/114/286151/5603/9133/995/245711/4085/9232/5347/5604/367/699/163688/983/112/9134/810/5600/6300/441273/441272",37
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","28/2057","101/9399",0.277227722772277,1.2667298815443,1.42647861117506,0.0980894286457027,0.255235742320415,0.185765562831701,"6401/50507/5332/5296/5054/6347/1277/84812/1958/3553/1284/3569/5292/185/2308/5603/113026/1278/2277/5579/3725/7056/23236/5600/1282/6300/1287/1288",28
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","15/2057","49/9399",0.306122448979592,1.39875785024754,1.48125270581132,0.0984480720378744,0.255235742320415,0.185765562831701,"2906/116444/2891/2354/84152/6531/90993/26086/2905/2912/8851/2902/3725/7054/2903",15
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","41/2057","155/9399",0.264516129032258,1.20864710586981,1.38635968849741,0.100559216363898,0.258792100936503,0.188353950155289,"8913/1870/816/815/7479/779/7481/3710/8911/5332/1869/898/7472/1395/51655/11211/10297/7475/1031/3164/50940/3949/2516/51176/185/1030/1029/1586/775/89780/7476/114/90993/54361/8313/5604/112/9134/2535/23236/8326",41
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","6/2057","16/9399",0.375,1.71347836655323,1.51181140963668,0.116303970124086,0.297126930973943,0.216254788859231,"259307/218/2805/2806/222/6898",6
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","41/2057","157/9399",0.261146496815287,1.19325032745108,1.29245299924059,0.117261010455384,0.297401113473801,0.216454344242586,"6591/1496/5522/8463/7479/7161/174/7481/332/655/268/7472/5054/11211/653/10297/7475/3398/656/652/8200/3397/4609/658/51176/122786/85407/1740/9231/79981/89780/7476/392255/54361/8313/2535/23513/6657/29119/353500/8326",41
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","28/2057","103/9399",0.271844660194175,1.24213318481529,1.30783376432311,0.118849421825074,0.299261134091912,0.217808103609752,"4843/5522/2775/5332/5296/5054/6347/3553/3569/3586/7099/2774/9630/5603/714/1636/624/3592/2353/4615/713/3725/23236/3654/5600/6300/54106/6348",28
"Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","10/2057","31/9399",0.32258064516129,1.47395988520708,1.39902884112535,0.120848558659854,0.302121396649634,0.21988985861417,"8277/5214/5236/9104/229/414328/226/2539/7086/2203",10
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","21/2057","75/9399",0.28,1.27939718035975,1.28581709175819,0.127228801141804,0.315816173047031,0.229857184593629,"3479/51512/7161/4616/898/5054/55240/9540/63970/10912/891/7057/3486/1029/1111/9133/983/6241/9134/2810/56475",21
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","15/2057","52/9399",0.288461538461538,1.31806028196403,1.21731413859893,0.147332919298641,0.360605047234436,0.262455402799199,"3479/5743/3972/8605/10965/3949/1573/1588/1586/114/283748/255189/112/123745/8644",15
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","15/2057","52/9399",0.288461538461538,1.31806028196403,1.21731413859893,0.147332919298641,0.360605047234436,0.262455402799199,"1071/350/9388/337/345/335/3949/27329/6272/3990/8435/1581/4023/4018/3931",15
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","59/2057","238/9399",0.247899159663866,1.13271959245536,1.09769011298568,0.15429944964209,0.37306359726208,0.27152297905992,"3479/3082/4254/5923/4804/27006/2249/5063/2323/285/50487/57144/8605/5296/8437/5924/5159/8074/7010/2322/5582/2792/91860/5156/56924/1950/1969/1944/53358/2114/22808/8822/283748/9965/2277/5579/3481/2786/255189/5604/163688/5319/283455/115727/11145/2902/810/1436/2903/1946/8398/399694/4908/2248/391013/123745/5154/27040/1945",59
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","28/2057","106/9399",0.264150943396226,1.2069784720375,1.13429969870727,0.154742055411741,0.37306359726208,0.27152297905992,"1870/3479/3645/2346/4318/1869/898/5296/2348/2352/5159/5156/51176/1950/354/4314/2308/2911/90993/6692/4824/2915/5604/367/9134/7113/5154/6716",28
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","37/2057","144/9399",0.256944444444444,1.17404999189759,1.11402443823273,0.155620814857896,0.37306359726208,0.27152297905992,"5606/32/2920/50507/9663/23417/10891/217/34/3553/1571/3569/7099/219/51176/2308/23643/5603/714/5563/2168/3592/929/4615/130/713/9370/3654/5600/124/6300/125/728/127/1375/126/9641",37
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","40/2057","157/9399",0.254777070063694,1.16414666092789,1.09780845926523,0.158414618496503,0.377177663086912,0.27451727659258,"1870/5606/5933/3710/4616/4776/4605/1869/898/5296/5054/59341/2305/91860/10912/1875/891/3569/4609/890/3486/1030/1029/1111/2308/5603/9133/22808/8878/993/5604/163688/983/9134/810/286826/5600/677/6300/55957",40
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","13/2057","45/9399",0.288888888888889,1.32001296386323,1.1389451834933,0.167934519763739,0.392642502164208,0.285772888793198,"1080/340273/6833/10060/10057/10058/89845/10257/94160/10351/26154/21/24",13
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","12/2057","41/9399",0.292682926829268,1.33734896901716,1.14579644715536,0.168275358070375,0.392642502164208,0.285772888793198,"5888/5424/8438/8940/7517/83990/580/675/146956/7516/25788/641",12
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","12/2057","41/9399",0.292682926829268,1.33734896901716,1.14579644715536,0.168275358070375,0.392642502164208,0.285772888793198,"1870/23604/7380/4318/1869/4609/7057/1950/1029/5604/4312/6714",12
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","87/2057","362/9399",0.240331491712707,1.09814083160318,1.00790489386822,0.172455131469682,0.399730437181383,0.290931626459834,"3675/3479/3082/3381/1298/4254/3909/4804/27006/5522/2249/2323/22798/3655/285/3560/5106/898/5296/1311/1440/1277/7450/2998/1297/3910/2690/7060/5159/7143/9048/6446/6696/8074/7010/2322/5585/3164/5105/2792/2538/3691/5156/1284/3915/3569/7099/4609/7057/22801/1950/1280/1969/4170/1944/3680/2846/90993/8822/29941/9965/5563/3673/1278/2277/5979/3481/28227/2786/7148/1128/5604/23566/9134/1129/1436/1946/3563/4908/2248/1282/1287/3914/5154/1288/131873/1945",87
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","26/2057","99/9399",0.262626262626263,1.20001178533021,1.05891081899822,0.173599201356134,0.399735003122676,0.290934949641166,"2213/25984/5340/5648/3872/3586/714/715/2215/820/4153/2358/2357/54474/2266/713/6403/716/2204/3859/390792/728/2214/3426/1668/3112",26
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","22/2057","83/9399",0.265060240963855,1.21113330326654,1.02260691424075,0.185424236140064,0.424173089209296,0.308721466432029,"4843/30/2182/54363/23417/92960/5264/1610/1962/51555/6342/51179/3155/2053/847/11001/54511/2180/7498/23305/8309/189",22
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","8/2057","26/9399",0.307692307692308,1.40593096742829,1.09705202993827,0.191528456500628,0.426382406307096,0.310329450605466,"5080/2645/4821/3110/3651/6514/389692/222546",8
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","8/2057","26/9399",0.307692307692308,1.40593096742829,1.09705202993827,0.191528456500628,0.426382406307096,0.310329450605466,"2346/113278/337/5948/335/9227/80704/81693",8
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","20/2057","75/9399",0.266666666666667,1.21847350510452,1.00543952017701,0.191559965902854,0.426382406307096,0.310329450605466,"389434/477/3710/5332/6528/7276/7849/5582/480/486/53905/405753/50506/114/90993/213/493869/5579/112/23236",20
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","33/2057","130/9399",0.253846153846154,1.15989304812834,0.971655901949082,0.192148520886997,0.426382406307096,0.310329450605466,"4843/2775/4318/5332/5296/1277/2792/1284/1910/4322/53358/114/5603/90993/1278/2277/2786/5604/2353/117579/59350/339403/112/3725/23236/5600/399694/1282/6300/1287/4312/6714/1288",33
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","11/2057","38/9399",0.289473684210526,1.3226850548832,1.0549629397202,0.192481200561489,0.426382406307096,0.310329450605466,"3479/477/5296/6446/5582/480/486/4306/5579/6340/2810",11
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","19/2057","71/9399",0.267605633802817,1.22276390477038,0.99725771244593,0.194666995651551,0.428512254578886,0.311879595813805,"5214/5315/5296/2645/5159/2744/6513/2322/5156/27165/4609/9123/80201/3099/2539/3101/6514/5979/5604",19
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","31/2057","122/9399",0.254098360655738,1.16104545056066,0.947659398044242,0.199428597324067,0.433540428965363,0.315539199427422,"477/5214/4854/2099/5332/5296/2648/84812/6513/5208/652/5582/480/4609/486/89869/53919/9611/6258/6567/2308/1827/113026/54361/5579/5604/23236/487/6714/4624/1734",31
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","31/2057","122/9399",0.254098360655738,1.16104545056066,0.947659398044242,0.199428597324067,0.433540428965363,0.315539199427422,"3479/5606/779/3710/3483/5332/5296/2692/2690/8835/5582/112609/3486/53358/775/114/5603/6750/90993/6755/5579/5604/2353/3726/112/23236/9021/5600/399694/6300/6753",31
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","16/2057","59/9399",0.271186440677966,1.23912559841138,0.975228340762941,0.204029240687389,0.440803915065347,0.320825706603952,"790/1723/129607/7371/284958/1807/978/7083/956/1841/6241/7298/93034/1806/56953/4830",16
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","15/2057","55/9399",0.272727272727273,1.24616608476599,0.969104977720638,0.207110829944196,0.444716506015145,0.323673366783955,"2717/55512/9514/2583/8612/204219/8613/130367/166929/7368/8877/2629/768239/4758/10715",15
"Metabolism","Metabolism of cofactors and vitamins","hsa00785","Lipoic acid metabolism","6/2057","19/9399",0.315789473684211,1.44292915078167,1.02290975696699,0.221074512244307,0.471805361496996,0.34338916536022,"594/1629/275/116285/55526/55753",6
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","7/2057","23/9399",0.304347826086957,1.39064910908668,0.992817978423816,0.223078872106212,0.473197607498026,0.344402469216608,"5424/4436/3978/5111/5983/5984/9156",7
"Organismal Systems","Nervous system","hsa04730","Long-term depression","16/2057","60/9399",0.266666666666667,1.21847350510452,0.898569948290245,0.22512025348022,0.474651136855886,0.345460376298118,"3479/2775/3710/5332/8605/2891/5582/2781/2895/2911/283748/5579/255189/5604/23236/123745",16
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","19/2057","73/9399",0.26027397260274,1.18926352381777,0.859227804674666,0.23274490168494,0.487788716106161,0.355022163301326,"1870/3479/3082/27006/2249/4616/1869/5296/5159/8074/10912/5156/1950/1029/8822/9965/5604/2248/5154",19
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","18/2057","69/9399",0.260869565217391,1.19198495064573,0.847185640609033,0.237392575977538,0.49456786661987,0.359956161569951,"153/779/3710/5332/1908/5732/91860/5972/185/775/5137/1636/134/154/163688/112/810/23236",18
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","49/2057","203/9399",0.241379310344828,1.1029286037584,0.784715616124261,0.239859510167062,0.495608152469319,0.360713301947595,"3675/3479/3082/3381/1298/3909/5923/5063/22798/3655/85366/57144/5296/1311/1277/7450/1297/3910/7060/5159/7143/6696/5582/3691/5156/1284/3915/7057/22801/56924/1950/1280/3680/53358/3673/1278/2277/5579/7148/5604/3725/399694/1282/1287/3914/6714/5154/1288/131873",49
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","25/2057","99/9399",0.252525252525253,1.15385748589443,0.814558782766255,0.240723959770812,0.495608152469319,0.360713301947595,"1870/3479/4854/10683/2099/638/4318/1869/5296/1031/54567/9611/1029/53358/114/5603/5604/2353/112/3725/3714/5600/399694/6300/6714",25
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","24/2057","95/9399",0.252631578947368,1.15434332062534,0.800280928883786,0.245749176759886,0.502995391029006,0.366089878583517,"2920/3589/50617/6387/6347/6364/525/7010/8600/3553/3569/7099/245973/245972/4314/528/1493/6374/2353/3725/527/4312/3112/6348",24
NA,NA,"hsa04382","Cornified envelope formation","52/2057","217/9399",0.23963133640553,1.09494162901098,0.748937502133823,0.250123824835137,0.508972899373825,0.370440426010423,"3909/51208/5522/5317/3655/23581/24146/25984/1294/6785/2053/7053/3872/3691/1284/3891/51702/29943/6279/26154/204219/9073/7062/6271/3713/6283/84283/149461/28227/2125/3892/286887/54474/2629/338785/353141/3859/1282/6274/1287/1364/57402/23254/6273/390792/3914/1288/6281/388697/6277/3887/100288814",52
"Metabolism","Lipid metabolism","hsa00100","Steroid biosynthesis","6/2057","20/9399",0.3,1.37078269324259,0.878585154517594,0.261337731001188,0.528717952892578,0.384811261954899,"1591/6713/6309/1594/8435/1056",6
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","78/2057","333/9399",0.234234234234234,1.07028078151073,0.691159875342794,0.264076848204084,0.531189062479479,0.386609783819651,"3675/3381/1298/3909/5315/54626/5743/4854/5522/7479/5933/7481/22798/3655/1869/898/5296/1311/50617/7472/1277/7450/11211/1297/3910/7060/5159/10297/7475/525/7143/6696/11317/7283/3691/1284/8638/23493/3915/7057/22801/1950/1280/245973/55502/3680/890/245972/1740/2308/89780/7476/528/90993/54361/3673/7098/7015/23462/1278/28227/7148/8313/5604/9134/84667/2535/23513/527/1282/1287/57801/8326/3914/1288/388585/131873/9641",78
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","26/2057","105/9399",0.247619047619048,1.13143968331134,0.716881702346708,0.270271106110174,0.540542212220347,0.393417189044584,"5743/3710/4776/29108/10332/5296/1959/3553/91860/3569/3586/5603/22808/51266/338339/3592/163688/53342/1263/3725/810/1960/5600/6300/6714/9641",26
NA,NA,"hsa04517","IgSF CAM signaling","70/2057","299/9399",0.234113712374582,1.06973008391283,0.648578819552508,0.279019135678957,0.553097874935451,0.402555445817682,"3785/113457/5063/4133/4897/85366/57144/10382/10332/5296/4099/8777/8506/5818/90249/5361/9414/22865/51744/84063/5582/55558/7225/56924/81607/8497/5375/57689/4684/10666/2308/288/112714/5789/137970/5603/4359/4868/4356/26050/145581/5579/57524/5604/11141/22871/6091/2266/2243/2244/260334/6712/114798/79861/139065/3786/84189/5600/84631/342035/1630/6300/26280/3556/6714/7278/117157/3897/10381/347688",70
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","10/2057","37/9399",0.27027027027027,1.23493936328161,0.757879233418084,0.279709496753071,0.553097874935451,0.402555445817682,"5236/55586/64841/2645/80201/3099/10020/3101/7360/91373",10
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","27/2057","110/9399",0.245454545454545,1.12154947628939,0.678723098096548,0.281950359693167,0.554396774677576,0.403500810442025,"4843/3479/816/5214/815/7018/285/3162/5296/5054/2027/6513/7010/5582/112399/3569/7099/229/1950/226/80201/3099/3101/5579/5604/5232/112398",27
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","110/2057","480/9399",0.229166666666667,1.0471256684492,0.560980462668424,0.304538758770686,0.593564346800403,0.432007735114879,"4843/5606/816/9627/815/5743/7479/113457/779/7481/50507/3710/5332/27121/4741/10382/147700/2906/8701/7472/6804/22943/11211/10297/1768/7475/2891/847/1769/3553/5582/7186/91860/84701/1131/5630/3569/7222/6531/774/29982/775/112714/2911/7345/89780/143471/7476/27123/3798/5603/1339/55567/65018/84134/5710/125965/8878/2905/54361/493869/5579/89832/1128/8313/2915/5604/163688/170712/260334/6712/201625/64837/1139/8851/2902/810/79861/2535/23236/2903/5413/5600/56901/127602/51079/4137/8632/6300/8326/120892/441925/487/7278/6262/4541/4519/4536/4540/4512/4537/4538/4535/4508/100506742/4539/4509/10381/347688/4747",110
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","34/2057","142/9399",0.23943661971831,1.09405191479455,0.597729042907625,0.305261664068778,0.593564346800403,0.432007735114879,"799/2213/29760/54209/3710/10326/10859/11024/10990/5296/2274/8600/3553/2354/7186/814/5603/8878/2215/4982/5604/2353/3726/8061/3725/1436/9021/5600/353514/6300/487/2214/23547/11027",34
"Metabolism","Metabolism of other amino acids","hsa00430","Taurine and hypotaurine metabolism","5/2057","17/9399",0.294117647058824,1.34390460121822,0.751177219598299,0.308471599025177,0.596492042313877,0.434138569142732,"2328/2326/2687/2571/339896",5
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","24/2057","99/9399",0.242424242424242,1.10770318645866,0.570206746534287,0.320714572028212,0.615843890590564,0.448223222625313,"1120/8605/5296/1119/5159/60482/5582/5156/204962/1950/8612/9162/283748/8613/5579/255189/5604/2353/6580/3725/123745/6583/5154/139189",24
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","48/2057","205/9399",0.234146341463415,1.06987917521373,0.535426827012728,0.321998377080209,0.615843890590564,0.448223222625313,"85477/5315/5933/7188/898/5296/2648/991/1959/11317/8970/7186/3572/890/255626/245972/1030/1029/1111/90993/8365/79885/983/9134/3725/1960/1237/23513/1232/8340/128312/6714/440689/2968/8341/8370/8362/8342/8339/8344/8348/8345/8294/8367/8360/8343/8359/8366",48
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","15/2057","60/9399",0.25,1.14231891103549,0.585350138767177,0.32562447245644,0.619394376955184,0.450807336009488,"5743/8605/5296/3315/5582/5603/283748/5579/255189/5604/8877/5600/123745/6300/6714",15
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","8/2057","30/9399",0.266666666666667,1.21847350510452,0.634366821268497,0.32749783379819,0.619590496374955,0.45095007555711,"2348/2352/10057/10257/3553/3569/7298/6470",8
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","39/2057","166/9399",0.234939759036145,1.07350451880443,0.505736549522425,0.335374178989413,0.631080444334917,0.459312684297895,"477/153/779/3710/4776/85366/5332/6543/148/4879/91860/480/1910/7225/486/185/775/114/90993/134/624/5604/154/163688/147/27094/146/112/810/23236/6546/152/5138/487/4624/1259/4207/157855/151",39
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","19/2057","78/9399",0.243589743589744,1.1130286825474,0.530557415538922,0.339360140743714,0.635166038825133,0.462286259836638,"4843/5743/1917/3553/3586/7099/5603/2215/5579/3592/2353/4615/3725/3654/5600/6300/1378/2214/3112",19
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","16/2057","65/9399",0.246153846153846,1.12474477394263,0.534161787453791,0.341982651443582,0.636669829815179,0.463380748316612,"8913/779/3710/8911/5332/3164/3949/2516/185/1586/775/114/90993/190/112/23236",16
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","17/2057","70/9399",0.242857142857143,1.10968122786305,0.487518895810448,0.357250625820388,0.661575233000718,0.48150738762759,"2182/32/5106/10891/6513/5105/7186/81616/2538/6258/2180/5563/23305/3952/9370/9021/1375",17
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","26/2057","110/9399",0.236363636363636,1.08001060679719,0.446773187213755,0.363351329733125,0.669331396876809,0.487152475320865,"3479/27330/3835/6790/994/5296/22849/9088/891/890/114/5603/9133/995/245711/993/4085/5347/5604/699/983/112/5600/6300/441273/441272",26
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","6/2057","23/9399",0.260869565217391,1.19198495064573,0.487921528948356,0.389782392301311,0.714260928300831,0.519853066612936,"2028/5972/185/1636/3816/3817",6
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","39/2057","170/9399",0.229411764705882,1.04824558895021,0.335994699454825,0.398116861102952,0.725733861385589,0.528203291594925,"1870/8193/3082/7479/51412/6604/7481/4616/3162/1869/5296/7472/11211/10297/7475/5582/10912/2944/2949/4609/51176/1029/53358/89780/7476/54361/7015/5579/3481/8313/5604/2941/2535/1728/399694/8326/7296/8110/2939",39
"Organismal Systems","Immune system","hsa04611","Platelet activation","29/2057","126/9399",0.23015873015873,1.05165868000093,0.308991208915127,0.413153793153888,0.746850458890268,0.543572364064496,"6915/51206/3710/85366/5332/8605/5296/1277/7450/9002/114/5603/283748/5739/11093/3673/1278/255189/64805/2266/2243/2244/112/2814/23236/5600/123745/6300/6714",29
"Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","7/2057","28/9399",0.25,1.14231891103549,0.399186949776439,0.416102398524578,0.746850458890268,0.543572364064496,"6785/10965/83401/1892/79993/10449/284486",7
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","7/2057","28/9399",0.25,1.14231891103549,0.399186949776439,0.416102398524578,0.746850458890268,0.543572364064496,"10402/124872/8708/79369/84002/2524/10331",7
"Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","4/2057","15/9399",0.266666666666667,1.21847350510452,0.448206429801186,0.423051138907292,0.751613698566254,0.547039143016642,"29906/81849/2583/27090",4
"Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","4/2057","15/9399",0.266666666666667,1.21847350510452,0.448206429801186,0.423051138907292,0.751613698566254,0.547039143016642,"249/251/248/158067",4
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","23/2057","100/9399",0.23,1.05093339815265,0.271026779428912,0.432024812158354,0.761900344589152,0.554525965084435,"3675/920/4254/2323/3568/3655/3589/1791/1440/2322/3553/3569/912/3673/929/947/2814/1436/3563/1378/3112/927/100133941",23
"Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","6/2057","24/9399",0.25,1.14231891103549,0.369496450527215,0.433194767352118,0.761900344589152,0.554525965084435,"9953/9955/2134/9348/90161/222537",6
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","10/2057","42/9399",0.238095238095238,1.08792277241475,0.302263272879693,0.440499902079133,0.770874828638484,0.561057770016581,"1356/2182/7018/3162/23516/55240/23657/2180/246/23305",10
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","27/2057","119/9399",0.226890756302521,1.03672640665406,0.213405499625905,0.451440043369468,0.786089627757781,0.572131398247768,"6401/5606/5743/2920/7188/4318/5296/6347/6364/8809/3553/7186/79651/3569/4314/5603/4323/90993/6374/2277/5604/2353/3726/3725/9021/5600/6300",27
"Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","9/2057","38/9399",0.236842105263158,1.08219686308625,0.268728418019359,0.456646492744168,0.787321539214084,0.573028007488145,"5236/64841/2645/80201/3099/10020/3101/7360/91373",9
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","9/2057","38/9399",0.236842105263158,1.08219686308625,0.268728418019359,0.456646492744168,0.787321539214084,0.573028007488145,"10135/316/284958/133686/23057/4837/93034/554235/56953",9
