"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007281","germ cell development",382,0.457981167504723,1.40250508045124,7.50164844571844e-05,0.00170318325385563,0.00135275142876862,5973,"tags=30%, list=20%, signal=24%","5047/56163/54937/3481/346288/26256/346673/4192/676/259266/163589/9319/402381/147872/83449/6690/341567/64396/340719/6790/55329/65010/268/92749/11144/9576/84944/26074/63948/56776/1811/4948/8549/79727/126859/54514/7141/51087/171482/283677/2189/147700/10361/54852/22994/23762/728695/81629/652/7784/347688/81833/401024/375189/50487/200162/219681/151254/255626/2735/83983/83990/220136/3148/346653/255101/339834/54361/245711/4838/85315/56853/10919/675/1788/4436/388553/132612/668/91646/3549/63950/84229/85376/286464/11022/90780/117155/342977/6714/83893/7490/150221/80217/646799/171484/221481/25879/285/994/6305/283417/286207/79925/55779/581/25809/25981/1761/257062/402573/7130/28981"
"GO:0002363","alpha-beta T cell lineage commitment",33,-0.561097377639142,-2.17461088903209,8.28677232634576e-05,0.00187441842695179,0.00148875477693266,3622,"tags=33%, list=12%, signal=29%","30009/4063/114836/6693/6774/1514/3662/3572/969/3569/9021"
"GO:0140105","interleukin-10-mediated signaling pathway",11,-0.818732889585839,-2.29033614237656,8.33001764785227e-05,0.00187719579856061,0.00149096070128258,2191,"tags=64%, list=7%, signal=59%","6774/3587/10288/10859/3586/11024/11027"
"GO:0060078","regulation of postsynaptic membrane potential",150,0.526949349461066,1.57452985159434,8.45476420972142e-05,0.00189825113479005,0.00150768387895773,5268,"tags=36%, list=17%, signal=30%","2556/124925/2566/2555/2563/1144/9177/23542/3359/2903/1136/2564/22953/2902/2900/2891/1143/81832/9699/2915/1138/89832/2895/1141/2560/2898/6512/22871/6804/2567/66000/134/388135/57596/869/1139/6543/3060/1128/4355/1815/55584/56853/1134/116444/1142/8973/2905/2911/2570/2906/2894/1813/5026"
"GO:0044839","cell cycle G2/M phase transition",156,0.531090058748111,1.58706597766378,8.56824928509816e-05,0.00191663199875517,0.00152228285997432,3013,"tags=22%, list=10%, signal=20%","995/332/27133/1063/9833/9133/90381/2305/9212/890/5347/9024/983/10403/891/51514/990/9088/9928/63967/4998/6790/10083/641/1111/993/80279/8317/219736/84446/5569/79915/80174/23236"
"GO:0051383","kinetochore organization",21,0.77136874465306,1.86136372372882,8.73299198435485e-05,0.00194630137533673,0.00154584772973835,2245,"tags=48%, list=7%, signal=44%","83540/1058/1063/9787/10403/1062/64105/387103/9735/64946"
"GO:0050819","negative regulation of coagulation",53,-0.476605372171321,-1.98146897147513,9.24353814917171e-05,0.00205253949671351,0.00163022724096053,2189,"tags=42%, list=7%, signal=39%","5624/2161/2147/350/1361/3273/2160/5196/5627/710/7056/5345/2243/2266/5055/2244/5156/114897/3818/7057/5340/5054"
"GO:0003300","cardiac muscle hypertrophy",86,-0.396062181291851,-1.87118895305125,9.46788958615518e-05,0.00209468418508294,0.00166370061341044,2645,"tags=27%, list=9%, signal=24%","4775/7133/8470/2627/4625/7132/2626/6416/9472/7074/23493/3572/90523/10611/4624/3479/32/2308/9464/221476/8013/148/27302"
"GO:0043368","positive T cell selection",50,-0.481452443720929,-2.03665740128096,9.55014267269167e-05,0.00210519872297661,0.00167205177358437,3622,"tags=30%, list=12%, signal=26%","30009/4063/114836/6693/1794/4775/387357/5788/6774/1514/3662/3572/969/3569/9021"
"GO:0035825","homologous recombination",68,0.614646879346983,1.74441925406506,9.64666076485232e-05,0.00211136910634417,0.00167695259379712,8655,"tags=65%, list=29%, signal=46%","400629/56159/7153/56979/146956/9319/29128/11105/8438/5888/11144/4438/10635/2177/4439/11077/25788/29893/83990/79173/197342/580/79703/124817/158401/126549/201254/83933/164045/84464/644186/84057/11073/388649/672/378708/283847/5889/57697/5885/317761/5892/80198/80010"
"GO:0034502","protein localization to chromosome",126,0.542712743636825,1.60731729767117,9.64779350803918e-05,0.00211136910634417,0.00167695259379712,7858,"tags=42%, list=26%, signal=31%","7015/1058/7272/9212/5347/983/701/8367/3009/51176/83903/8365/2146/8370/4796/9735/8362/27085/8970/54908/8360/157570/8335/3012/3014/84515/245711/8366/675/253714/4436/8359/83695/8294/55166/51149/79035/54069/55055/7443/908/554313/11073/57082/221496/121504/9656/9555/55920/142/51548/25900/5885"
"GO:1901970","positive regulation of mitotic sister chromatid separation",21,0.769641163899539,1.85719495727735,9.81613328283765e-05,0.00214048201296985,0.00170007548790986,781,"tags=38%, list=3%, signal=37%","220134/991/11065/332/9787/9212/221150/55143"
