"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009750","response to fructose","6/4095","10/18986",0.6,2.7818315018315,2.9555248748496,0.0093772844631601,0.0696311576329182,0.0564430639231105,"PTGS2/GCKR/PCK1/KHK/SLC2A5/SLC26A6",6
"GO:0021520","spinal cord motor neuron cell fate specification","6/4095","10/18986",0.6,2.7818315018315,2.9555248748496,0.0093772844631601,0.0696311576329182,0.0564430639231105,"LHX3/HOXD10/MNX1/ISL2/OLIG3/HOXC10",6
"GO:0021683","cerebellar granular layer morphogenesis","6/4095","10/18986",0.6,2.7818315018315,2.9555248748496,0.0093772844631601,0.0696311576329182,0.0564430639231105,"CBLN1/KIF14/SERPINE2/GRID2/WNT7A/NRXN1",6
"GO:0070189","kynurenine metabolic process","6/4095","10/18986",0.6,2.7818315018315,2.9555248748496,0.0093772844631601,0.0696311576329182,0.0564430639231105,"AADAT/KMO/ALDH8A1/TDO2/KYAT1/IDO2",6
"GO:0071314","cellular response to cocaine","6/4095","10/18986",0.6,2.7818315018315,2.9555248748496,0.0093772844631601,0.0696311576329182,0.0564430639231105,"SLC1A3/SLC1A1/PPP1R1B/CCNA2/CRHBP/EHMT2",6
"GO:1903010","regulation of bone development","6/4095","10/18986",0.6,2.7818315018315,2.9555248748496,0.0093772844631601,0.0696311576329182,0.0564430639231105,"KAT2A/LOX/RGN/TAPT1/TMEM119/BGLAP",6
"GO:0019748","secondary metabolic process","21/4095","59/18986",0.355932203389831,1.65023902651021,2.62318227108263,0.00938030527521169,0.0696311576329182,0.0564430639231105,"FMO1/CYP2W1/TYR/OCA2/TYRP1/CYP1A2/CBR4/SLC7A11/AKR1C2/CYP3A4/BDH2/SLC45A2/ZEB2/TH/AKR1C3/AKR1B10/AS3MT/UGT1A8/UGT1A10/UGT1A7/CYP2A6",21
"GO:0090497","mesenchymal cell migration","21/4095","59/18986",0.355932203389831,1.65023902651021,2.62318227108263,0.00938030527521169,0.0696311576329182,0.0564430639231105,"SEMA3F/PAX6/SEMA3G/SEMA3B/KITLG/SEMA3A/SEMA5B/SOX10/BMP7/FOLR1/EDN3/BMP4/SEMA4F/EDNRB/SEMA6D/SEMA7A/SEMA6C/PITX2/HAND2/RET/GBX2",21
"GO:0006816","calcium ion transport","117/4095","445/18986",0.262921348314607,1.21900481540931,2.45153114250806,0.00942346137640497,0.0698682350622026,0.0566352390491707,"CACNA1G/CD4/EHD3/ATP1A2/HOMER3/MCOLN3/CAMK2B/CACNB1/TRPC7/CAMK2A/TRPM5/TRPC5/PTGS2/CACNG4/CACNA1S/TRPM3/ITPR3/CACNA1I/BDKRB1/PLCB4/CEMIP/JPH1/LILRB1/GRIN2D/GCK/CXCL12/CCL2/CACNG1/RCVRN/P2RX3/CALCA/ASIC1/CYP27B1/TRPV4/EPM2A/PDGFRB/STC2/GCG/GRIN3B/SLC8A2/CASQ2/TRPM6/BSPRY/HPCA/PLP1/F2RL3/MCHR1/NALF2/RAMP1/TRPC4/CSN2/EDNRB/TRPC6/TRPC3/EGF/PLCZ1/STAC2/CACNG8/CASQ1/TRPM8/HTR2C/SLC25A25/CACNA1B/TMC2/PLCH2/GPM6A/CACNA1C/THY1/PANX3/WNT3A/MICU3/CACNA2D3/STC1/ACE/G6PD/CHRNB2/GRIN2C/HCRT/UCN/CCR1/SPINK1/TMC1/TRPV6/PKD1L2/PRKCB/CATSPER2/CACNB3/SCN11A/SLN/PLA2G1B/XCR1/CHRNA7/GRIN1/CRACR2B/GPR35/GP5/CACNB4/PLCB1/SLC8A1/GRIN2A/DHRS7C/ANO9/LILRA5/NPSR1/P2RX2/ATP2A1/CACNA1E/CNGA1/RYR2/DMD/PLPP4/MRLN/TLR9/LILRA2/STRIT1/CCL4/CCL3",117
"GO:0051303","establishment of chromosome localization","36/4095","115/18986",0.31304347826087,1.45139034878165,2.54609177528352,0.0094571358313291,0.0700345326486535,0.0567700399863,"SPDL1/SPAG5/KIF22/NDC80/BIRC5/FAM83D/TTK/ECT2/NEK2/CENPF/KIF14/KIF18A/ZWINT/SGO1/CCNB1/PSRC1/CDCA8/CENPE/KIF2C/NUF2/CDCA5/INCENP/DSN1/SPC25/SKA1/KASH5/RACGAP1/SPC24/SPDYA/SKA3/TERB2/CDT1/CDK1/AURKB/KNTC1/KIFC1",36
"GO:0050714","positive regulation of protein secretion","45/4095","150/18986",0.3,1.39091575091575,2.5206049230112,0.00949756205359271,0.0702503758548401,0.0569450026366179,"CFTR/ABCC8/TMEM132A/GIPR/IGF1/NNAT/ACSL4/TRPM5/C1QTNF3/TREM2/PCK2/GCK/EXPH5/GCG/PFKFB2/SOX4/ANO1/NR0B2/SNAP25/CHRM3/BLK/TLR4/RBP4/PDX1/GLUD1/ANKRD1/ADCY8/GIP/SLC2A2/SLC30A8/PRKCB/OR51E2/GPR27/PLA2G1B/FGG/FGA/FGB/BSG/PCSK1/PLCB1/ABAT/C1QTNF12/PLA2G6/RFX6/ANG",45
"GO:0060560","developmental growth involved in morphogenesis","67/4095","238/18986",0.281512605042017,1.30520105478089,2.48466223044948,0.00951901941756434,0.0703255669425749,0.057005952583678,"SEMA3F/SEMA3G/FSTL4/TRPC5/SEMA3A/SPAG6/MAP2/SEMA5B/WNT11/MT3/AURKA/ARHGAP4/NRCAM/ESR1/SIX4/SFRP1/MAG/LIMK1/LHX2/CXCL12/RASAL1/PTK7/PLXNA1/TNR/SPP1/BCL11A/EDN3/BMP4/SOX9/FLRT1/SIX1/HOXD13/FGF13/UNC13A/PLXNA3/MAP1B/SPART/POSTN/SEMA4F/EMX1/SPRY2/KIAA0319/PAK6/SEMA6D/SEMA7A/NKD1/RNF157/SEMA6C/SYT2/CPNE9/TMEM108/WNT3A/KIF26B/TRIM46/MESP1/LPAR3/DSCAM/RIMS2/SLITRK1/RGMA/EFNA5/MAPT/DCC/L1CAM/DDR1/SYT3/LHX1",67
"GO:0051180","vitamin transport","19/4095","52/18986",0.365384615384615,1.69406405560252,2.62815128493727,0.00964418741512752,0.071061492053909,0.0576024939814332,"AFM/SLC52A3/FOLR1/FOLR3/ABCC5/SLC2A1/APOA1/RTBDN/SLC19A3/TTPA/STRA6/GC/SLC2A6/SLC2A2/AMN/SLC2A14/SLC22A1/SLC35F3/SLC52A2",19
"GO:0015872","dopamine transport","17/4095","45/18986",0.377777777777778,1.7515235381902,2.64677920791458,0.00967568164125157,0.071061492053909,0.0576024939814332,"DRD4/SLC6A2/CXCL12/GNAT1/CNR1/HTR1B/SLC6A3/CHRNA6/PINK1/CHRNB2/GRM2/SLC29A4/PRKCB/RAB3B/SNCG/SLC22A1/ABAT",17
