"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903846","positive regulation of cellular response to transforming growth factor beta stimulus","8/4095","33/18986",0.242424242424242,1.12397232397232,0.373777412379126,0.420331630748372,0.807118838797084,0.65425108184951,"TGFBR3/FERMT1/THBS1/CDKN2B/CITED2/NPNT/ZEB2/LRG1",8
"GO:0060395","SMAD protein signal transduction","22/4095","97/18986",0.22680412371134,1.05155142680916,0.266926932568818,0.434122653178285,0.815489318366515,0.661036198304061,"TGFBR3/BMP7/AMH/DKK1/BMP5/INHBA/BMP4/GDF5/CCN3/KIAA0319/CILP/GDF6/NODAL/BMP10/TBX20/BMPER/ATOH8/FOS/JUN/PSG9/MIR483/GDF2",22
"GO:0060742","epithelial cell differentiation involved in prostate gland development","3/4095","11/18986",0.272727272727273,1.26446886446886,0.46009797601684,0.434587194550171,0.815489318366515,0.661036198304061,"HOXB13/AR/PSAPL1",3
"GO:0060767","epithelial cell proliferation involved in prostate gland development","3/4095","11/18986",0.272727272727273,1.26446886446886,0.46009797601684,0.434587194550171,0.815489318366515,0.661036198304061,"SOX9/NKX3-1/AR",3
"GO:0090162","establishment of epithelial cell polarity","8/4095","34/18986",0.235294117647059,1.09091431444373,0.278236771148789,0.456500455239117,0.840651932356362,0.681433030385883,"FERMT1/FOXF1/SIPA1L3/PTK7/FRMD4B/TCF15/FBF1/HES5",8
"GO:0090136","epithelial cell-cell adhesion","4/4095","17/18986",0.235294117647059,1.09091431444373,0.196654927399334,0.515960400594408,0.883287898543698,0.715993773690223,"THBS4/CCN3/IHH/SERPINB8",4
"GO:0002067","glandular epithelial cell differentiation","16/4095","73/18986",0.219178082191781,1.01619415592018,0.0726958898805191,0.517067874414233,0.883968905257162,0.716545798197166,"PAX6/AGR2/LHX3/BMP5/SPDEF/BMP4/SOX9/NKX2-2/KLF4/ASCL1/PDX1/WNT4/IL31RA/INSM1/RFX6/PERCC1",16
"GO:0060317","cardiac epithelial to mesenchymal transition","8/4095","36/18986",0.222222222222222,1.0303079636413,0.0954495142953581,0.527248984723495,0.899645664892583,0.729253390262115,"SNAI2/TGFBR3/WNT2/HEY2/ADAM15/MSX1/HEY1/HAS2",8
"GO:0002070","epithelial cell maturation","6/4095","27/18986",0.222222222222222,1.0303079636413,0.0826420817194845,0.542338398084137,0.917599441257269,0.743806733642609,"SIX3/HOXB13/TMEM79/TYMS/KCNE1/TMIGD1",6
"GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry","3/4095","13/18986",0.230769230769231,1.06993519301212,0.132272564151331,0.554938342764104,0.921150319492229,0.746685077964495,"DNAH11/DNAAF1/CFAP53",3
"GO:0060487","lung epithelial cell differentiation","6/4095","29/18986",0.206896551724138,0.959252242010863,-0.11515644094442,0.618225970630305,0.97254643725323,0.788346806116096,"TP73/AGR2/SPDEF/SOX9/FOXJ1/ASCL1",6
